# 7daf4d34-e3c1-4827-9777-a6793ffc3440
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps
17.195442; -6.88; 0; 3.1415927; 0; 1; 0
17.395389; -6.96; 0; 3.1415927; 0; 1; 0
17.595336; -7.04; 0; 3.1415927; 0; 1; 0
17.795283; -7.12; 0; 3.1415927; 0; 1; 0
17.99523; -7.2; 0; 3.1415927; 0; 1; 0
18.195177; -7.28; 0; 3.1415927; 0; 1; 0
18.395124; -7.36; 0; 3.1415927; 0; 1; 0
18.595071; -7.44; 0; 3.1415927; 0; 1; 0
18.795018; -7.5200000000000005; 0; 3.1415927; 0; 1; 0
18.994965; -7.6000000000000005; 0; 3.1415927; 0; 1; 0
19.194912; -7.68; 0; 3.1415927; 0; 1; 0
19.394859; -7.76; 0; 3.1415927; 0; 1; 0
19.594806; -7.84; 0; 3.1415927; 0; 1; 0
19.794753; -7.92; 0; 3.1415927; 0; 1; 0
19.9947; -8.0; 0; 3.1415927; 0; 1; 0
20.0; -8.5; 0.0; 1.5707963; 0; 1; 0
20.199947; -8.5; 0.085; 1.5707963; 0; 1; 0
20.399894; -8.5; 0.17; 1.5707963; 0; 1; 0
20.599841; -8.5; 0.255; 1.5707963; 0; 1; 0
20.799788; -8.5; 0.34; 1.5707963; 0; 1; 0
20.999735; -8.5; 0.42500000000000004; 1.5707963; 0; 1; 0
21.199682; -8.5; 0.51; 1.5707963; 0; 1; 0
21.399629; -8.5; 0.5950000000000001; 1.5707963; 0; 1; 0
21.599576; -8.5; 0.68; 1.5707963; 0; 1; 0
21.799523; -8.5; 0.765; 1.5707963; 0; 1; 0
21.99947; -8.5; 0.8500000000000001; 1.5707963; 0; 1; 0
22.199417; -8.5; 0.935; 1.5707963; 0; 1; 0
22.399364; -8.5; 1.02; 1.5707963; 0; 1; 0
22.599311; -8.5; 1.105; 1.5707963; 0; 1; 0
22.799258; -8.5; 1.1900000000000002; 1.5707963; 0; 1; 0
22.999205; -8.5; 1.2750000000000001; 1.5707963; 0; 1; 0
23.199152; -8.5; 1.36; 1.5707963; 0; 1; 0
23.399099; -8.5; 1.445; 1.5707963; 0; 1; 0
23.599046; -8.5; 1.53; 1.5707963; 0; 1; 0
23.798993; -8.5; 1.6150000000000002; 1.5707963; 0; 1; 0
23.99894; -8.5; 1.7000000000000002; 1.5707963; 0; 1; 0
24.198887; -8.5; 1.7850000000000001; 1.5707963; 0; 1; 0
24.398834; -8.5; 1.87; 1.5707963; 0; 1; 0
24.598781; -8.5; 1.955; 1.5707963; 0; 1; 0
24.798728; -8.5; 2.04; 1.5707963; 0; 1; 0
24.998675; -8.5; 2.125; 1.5707963; 0; 1; 0
